xp_per_min,tower_damage,sen_placed,sen_destroyed,obs_placed,obs_destroyed,lh50,lh40,lh30,lh20,lh10,last_hits,kills,hero_healing,hero_damage,gold_per_min,denies,deaths,dmg_received,dmg_dealt,camps_stacked,buybacks,assists,match_id,start_time,win,hero_id,account_id,leaguename
720,8249,1,1,1,1,473,396,263,152,45,505,7,5289,45333,670,8,6,51229,45333,2,2,18,4973234250,1566108686,false,42,100471531,The International 2019
624,505,1,3,1,5,309,227,174,107,50,326,4,180,30858,516,5,5,22398,30858,3,1,28,4969288250,1565927125,true,65,184950344,The International 2019
616,654,8,9,3,3,288,205,146,78,22,318,8,615,36108,528,4,5,19163,36108,2,2,17,4967600837,1565834467,true,9,155494381,The International 2019
603,8285,2,2,6,4,234,167,76,28,3,381,7,7499,37496,484,13,9,40085,37496,1,3,11,4971157392,1566019029,false,52,139876032,The International 2019
602,976,11,6,7,3,253,144,93,63,18,292,7,485,31819,548,3,5,16276,31819,3,1,24,4969288250,1565927125,true,9,155494381,The International 2019
593,1136,31,5,19,5,46,35,27,11,3,60,4,0,16281,306,2,3,10808,16281,1,1,24,4971493281,1566032942,true,31,86727555,The International 2019
592,247,37,9,21,5,95,78,63,45,30,123,3,485,16301,352,2,6,25877,16301,6,1,29,4967655141,1565839252,true,79,173476224,The International 2019
590,1481,4,5,4,2,160,96,69,39,6,193,7,0,43254,399,12,10,21808,43254,1,2,31,4967655141,1565839252,false,25,139876032,The International 2019
579,423,1,3,2,2,146,106,78,39,19,150,5,0,20455,379,13,3,12424,20455,4,2,21,4985705053,1566703068,true,86,101695162,The International 2019
575,286,8,2,6,1,182,129,85,36,16,430,10,220,38074,556,4,11,47792,38074,3,3,20,4976922218,1566279195,true,19,155494381,The International 2019
568,251,33,4,16,2,106,84,38,23,8,111,3,3829,16004,479,2,8,30106,16004,4,2,26,4970995519,1566009762,true,84,155494381,The International 2019
566,18,10,3,7,1,204,136,100,64,15,241,6,242,23620,442,4,5,14428,23620,5,1,22,4980333085,1566456722,false,86,89117038,The International 2019
565,65,36,9,24,6,85,65,38,8,2,129,13,125,56754,486,2,9,26604,56754,2,1,19,4973040677,1566099119,true,101,155494381,The International 2019
559,19,2,1,1,5,11,9,7,7,3,17,0,0,5942,277,1,12,34596,5942,0,2,16,4969187966,1565918294,true,97,157989498,The International 2019
